[2025-05-22T10:36:06.827+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:11.849+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:16.879+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:21.902+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:26.924+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:31.954+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:36.988+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:42.014+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:47.048+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:52.083+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:36:57.107+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:02.129+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:07.156+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:12.183+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:17.213+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:22.239+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:27.268+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:32.298+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:37.329+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:42.353+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:47.380+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:52.407+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:37:57.430+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:38:02.448+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:38:07.474+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:38:12.505+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
