[2025-05-22T00:07:44.279+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.279+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.280+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.281+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.282+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.282+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.283+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.284+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.285+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.285+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.286+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.287+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.288+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.288+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.289+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.290+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.291+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.291+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.292+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.293+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.294+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.294+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.295+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.296+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.296+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.297+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.298+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.299+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.300+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.301+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.302+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.302+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.303+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.304+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.304+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.305+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.306+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.306+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.317+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.318+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.319+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.319+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.320+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.320+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.321+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.321+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.322+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.322+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.323+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.324+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.324+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.325+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.325+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.326+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.326+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.327+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.328+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.328+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.329+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.329+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.330+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.330+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.331+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.331+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.332+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.333+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.333+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.334+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.334+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.335+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.335+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.336+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.336+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.337+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.337+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.338+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.339+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.339+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.340+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.340+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.341+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.342+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.342+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.343+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.343+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.344+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.345+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.345+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.346+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.346+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.347+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.348+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.348+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.349+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
