[2025-05-22T10:29:57.261+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.273+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.286+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.296+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.308+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.319+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.331+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.343+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.354+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.367+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.378+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.387+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.397+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.407+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.417+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.429+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.438+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.451+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.462+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.471+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.482+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.494+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.505+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.518+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.531+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.542+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.554+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.565+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.577+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.589+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.601+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.612+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.624+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.636+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.647+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.660+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.671+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.681+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.694+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.706+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.718+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.730+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.745+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.757+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.769+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.778+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.788+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.801+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.812+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.821+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.831+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.843+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.854+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.864+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.876+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.888+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.897+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.909+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.921+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.931+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.943+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.954+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.967+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.978+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.989+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.001+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.010+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.020+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.030+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.037+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.045+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.053+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.061+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.070+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.079+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.089+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.101+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.112+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.122+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.134+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.145+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.155+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.165+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.177+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.188+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.201+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.212+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.221+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.231+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.240+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.251+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.260+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.268+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.278+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.289+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.301+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.311+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.321+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.331+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.344+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:58.356+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:58.368+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
